name, type, start, end, source, info
Winterferien, WINTER, 2021-2-8, 2021-2-20, https://www.schulferien-sachsen.de/schulferien-sachsen-2021.html,
Osterferien, OSTERN, 2021-4-2, 2021-4-10, https://www.schulferien-sachsen.de/schulferien-sachsen-2021.html,
Pfingstferien, PFINGSTEN, 2021-5-14, 2021-5-14, https://www.schulferien-sachsen.de/schulferien-sachsen-2021.html,
Sommerferien, SOMMER, 2021-7-26, 2021-9-3, https://www.schulferien-sachsen.de/schulferien-sachsen-2021.html,
Herbstferien, HERBST, 2021-10-18, 2021-10-30, https://www.schulferien-sachsen.de/schulferien-sachsen-2021.html,
Weihnachtsferien, WEIHNACHTEN, 2021-12-23, 2022-1-1, https://www.schulferien-sachsen.de/schulferien-sachsen-2021.html,
