name, type, start, end, source, info
Osterferien, OSTERN, 2021-3-29, 2021-4-6, https://bm.rlp.de/de/service/ferientermine/,
Pfingstferien, PFINGSTEN, 2021-5-25, 2021-6-2, https://bm.rlp.de/de/service/ferientermine/,
Sommerferien, SOMMER, 2021-7-19, 2021-8-27, https://bm.rlp.de/de/service/ferientermine/,
Herbstferien, 2021-10-11, 2021-10-22, https://bm.rlp.de/de/service/ferientermine/,
Weihnachtsferien, WEIHNACHTEN, 2021-12-23, 2021-12-31, https://bm.rlp.de/de/service/ferientermine/,
