name, type, start, end, source, info
Fastnachtsferien, OTHER, 2021-2-15, 2021-2-19, https://www.saarland.de/SharedDocs/Downloads/DE/mbk/Bildungsserver/allgemeine-informationen/Ferientermine.html,
Osterferien, OSTERN, 2021-3-29, 2021-4-7, https://www.saarland.de/SharedDocs/Downloads/DE/mbk/Bildungsserver/allgemeine-informationen/Ferientermine.html,
Pfingstferien, PFINGSTEN, 2021-5-25, 2021-5-28, https://www.saarland.de/SharedDocs/Downloads/DE/mbk/Bildungsserver/allgemeine-informationen/Ferientermine.html,
Sommerferien, SOMMER, 2021-7-19, 2021-8-27, https://www.saarland.de/SharedDocs/Downloads/DE/mbk/Bildungsserver/allgemeine-informationen/Ferientermine.html,
Herbstferien, HERBST, 2021-10-18, 2021-10-29, https://www.saarland.de/SharedDocs/Downloads/DE/mbk/Bildungsserver/allgemeine-informationen/Ferientermine.html,
Weihnachtsferien, WEIHNACHTEN, 2021-12-23, 2022-1-3, https://www.saarland.de/SharedDocs/Downloads/DE/mbk/Bildungsserver/allgemeine-informationen/Ferientermine.html,
