name, type, start, end, source, info
Herbstferien, HERBST, 2021-10-11, 2021-10-23, https://www.berlin.de/sen/bjf/service/kalender/ferien/artikel.420979.php,
Weihnachtsferien, WEIHNACHTEN, 2021-12-24, 2022-1-3, https://www.berlin.de/sen/bjf/service/kalender/ferien/artikel.420979.php,
