name, type, start, end, source, info
Sommerferien, SOMMER, 2021-7-30, 2021-9-13, https://www.km.bayern.de/ministerium/termine/ferientermine.html,
Unterrichtsfreie Tage, UNTERRICHTSFREI, 2021-11-2, 2021-11-5, https://www.km.bayern.de/ministerium/termine/ferientermine.html,
Weihnachtsferien, WEIHNACHTEN, 2021-12-24, 2022-1-8, https://www.km.bayern.de/ministerium/termine/ferientermine.html,
Osterferien, OSTERN, 2021-3-29, 2021-4-10, https://www.km.bayern.de/ministerium/termine/ferientermine.html,
Pfingstferien, PFINGSTEN, 2021-5-25, 2021-6-4, https://www.km.bayern.de/ministerium/termine/ferientermine.html,
