name, type, start, end, source, info
Winterferien, WINTER, 2021-2-8, 2021-2-13, https://www.tutoria.de/schule-ratgeber/ferientermine/schulferientermine-sachsen-anhalt,
Osterferien, OSTERN, 2021-3-29, 2021-4-3, https://www.tutoria.de/schule-ratgeber/ferientermine/schulferientermine-sachsen-anhalt,
Pfingstferien, PFINGSTEN, 2021-5-10, 2021-5-22, https://www.tutoria.de/schule-ratgeber/ferientermine/schulferientermine-sachsen-anhalt,
Sommerferien, SOMMER, 2021-7-22, 2021-9-1, https://www.tutoria.de/schule-ratgeber/ferientermine/schulferientermine-sachsen-anhalt,
Herbstferien, HERBST, 2021-10-25, 2021-10-30, https://www.tutoria.de/schule-ratgeber/ferientermine/schulferientermine-sachsen-anhalt,
Weihnachtsferien, WEIHNACHTEN, 2021-12-22, 2022-1-8, https://www.tutoria.de/schule-ratgeber/ferientermine/schulferientermine-sachsen-anhalt,
