name, type, start, end, source, info
Herbstferien, HERBST, 2021-10-4, 2021-10-15, https://www.hamburg.de/bsb/ferien/,
Weihnachtsferien, WEIHNACHTEN, 2021-12-23, 2021-1-4, https://www.hamburg.de/bsb/ferien/,
Halbjahrespause, HALBJAHR, 2021-1-29, 2021-1-29, https://www.hamburg.de/bsb/ferien/,
Frühjahrsferien, FRÜHJAHR, 2021-3-1, 2021-3-12, https://www.hamburg.de/bsb/ferien/,
Pfingsten, PFINGSTEN, 2021-5-10, 2021-5-14, https://www.hamburg.de/bsb/ferien/,
Sommerferien, SOMMER, 2021-6-24, 2021-8-4, https://www.hamburg.de/bsb/ferien/, 
