name, type, start, end, source, info
Sommerferien, SOMMER, 2021-7-22,2021-9-1, https://www.bildung.bremen.de/ferientermine-3404,
Herbstferien, HERBST, 2021-10-18, 2021-10-30, https://www.bildung.bremen.de/ferientermine-3404,
Weihnachtsferien, WEIHNACHTEN, 2021-12-23, 2022-1-8, https://www.bildung.bremen.de/ferientermine-3404,
Halbjahresferien, HALBJAHR, 2021-2-1, 2021-2-2, https://www.bildung.bremen.de/ferientermine-3404,
Osterferien, OSTERN, 2021-3-27, 2021-4-10, https://www.bildung.bremen.de/ferientermine-3404,
Tag nach Himmelfahrt, OTHER, 2021-5-14, 2021-5-14, https://www.bildung.bremen.de/ferientermine-3404,
Pfingsten, PFINGSTEN, 2021-5-25, 2021-5-25, https://www.bildung.bremen.de/ferientermine-3404,

