name, type, start, end, source, info
Halbjahresferien, HALBJAHR, 2021-2-1, 2021-2-2, https://www.mk.niedersachsen.de/startseite/service/ferientermine/schulferien-6491.html,
Osterferien, OSTERN, 2021-3-29, 2021-4-9, https://www.mk.niedersachsen.de/startseite/service/ferientermine/schulferien-6491.html,
Himmelfahrt, OTHER, 2021-5-14, 2021-5-14, https://www.mk.niedersachsen.de/startseite/service/ferientermine/schulferien-6491.html,
Pfingstferien, PFINGSTEN, 2021-5-25, https://www.mk.niedersachsen.de/startseite/service/ferientermine/schulferien-6491.html,
Sommerferien, SOMMER, 2021-7-22, 2021-9-1, https://www.mk.niedersachsen.de/startseite/service/ferientermine/schulferien-6491.html,
Herbstferien, HERBST, 2021-10-18, 2021-10-29, https://www.mk.niedersachsen.de/startseite/service/ferientermine/schulferien-6491.html,
Weihnachtsferien, WEIHNACHTEN, 2021-12-23, 2021-1-7, https://www.mk.niedersachsen.de/startseite/service/ferientermine/schulferien-6491.html,
