name, type, start, end, source, info
Halbjahresferien, HALBJAHR, 2022-2-1, 2022-2-2, https://www.mk.niedersachsen.de/startseite/service/ferientermine/schulferien-6491.html,
Osterferien, OSTERN, 2022-3-29, 20224-9, https://www.mk.niedersachsen.de/startseite/service/ferientermine/schulferien-6491.html,
Himmelfahrt, OTHER, 2022-5-14, 2022-5-14, https://www.mk.niedersachsen.de/startseite/service/ferientermine/schulferien-6491.html,
Pfingstferien, PFINGSTEN, 2022-5-25, https://www.mk.niedersachsen.de/startseite/service/ferientermine/schulferien-6491.html,
Sommerferien, SOMMER, 2022-7-22, 2022-9-1, https://www.mk.niedersachsen.de/startseite/service/ferientermine/schulferien-6491.html,
Herbstferien, HERBST, 2022-10-18, 2022-10-29, https://www.mk.niedersachsen.de/startseite/service/ferientermine/schulferien-6491.html,
Weihnachtsferien, WEIHNACHTEN, 2022-12-23, 2022-1-7, https://www.mk.niedersachsen.de/startseite/service/ferientermine/schulferien-6491.html,
