name, type, start, end, source, info
Winterferien, WINTER, 2022-2-8, 2022-2-20, https://www.schulferien-sachsen.de/schulferien-sachsen-2022.html,
Osterferien, OSTERN, 2022-4-2, 2022-4-10, https://www.schulferien-sachsen.de/schulferien-sachsen-2022.html,
Pfingstferien, PFINGSTEN, 2022-5-14, 2022-5-14, https://www.schulferien-sachsen.de/schulferien-sachsen-2022.html,
Sommerferien, SOMMER, 2022-7-26, 2022-9-3, https://www.schulferien-sachsen.de/schulferien-sachsen-2022.html,
Herbstferien, HERBST, 2022-10-18, 2022-10-30, https://www.schulferien-sachsen.de/schulferien-sachsen-2022.html,
Weihnachtsferien, WEIHNACHTEN, 2022-12-23, 2023-1-1, https://www.schulferien-sachsen.de/schulferien-sachsen-2022.html,
