name, type, start, end, source, info
Winterferien, WINTER, 2022-1-25, 2022-1-30, https://bildung.thueringen.de/schule/schulwesen/ferien/,
Osterferien, OSTERN, 2022-3-29, 2022-4-10, https://bildung.thueringen.de/schule/schulwesen/ferien/,
Schulfreier Tag, UNTERRICHTSFREI, 2022-5-14, 2022-5-14, https://bildung.thueringen.de/schule/schulwesen/ferien/,
Sommerferien, SOMMER, 2022-7-26, 2022-9-4, https://bildung.thueringen.de/schule/schulwesen/ferien/,
Herbstferien,HERBST, 2022-10-25, 2022-11-6, https://bildung.thueringen.de/schule/schulwesen/ferien/,
Weihnachtsferien, WEIHNACHTEN, 2022-12-23, 2022-12-31, https://bildung.thueringen.de/schule/schulwesen/ferien/,
