name, type, start, end, source, info
Herbstferien, HERBST, 2022-10-4, 2022-10-15, https://www.hamburg.de/bsb/ferien/,
Weihnachtsferien, WEIHNACHTEN, 2022-12-23, 2022-1-4, https://www.hamburg.de/bsb/ferien/,
Halbjahrespause, HALBJAHR, 2022-1-29, 2022-1-29, https://www.hamburg.de/bsb/ferien/,
Frühjahrsferien, FRÜHJAHR, 2022-3-1, 2022-3-12, https://www.hamburg.de/bsb/ferien/,
Pfingsten, PFINGSTEN, 2022-5-10, 2022-5-14, https://www.hamburg.de/bsb/ferien/,
Sommerferien, SOMMER, 2022-6-24, 2022-8-4, https://www.hamburg.de/bsb/ferien/, 
