name, type, start, end, source, info
Sommerferien, SOMMER, 2022-7-5, 2022-8-17, https://www.schulministerium.nrw/ferienordnung-fuer-nordrhein-westfalen-fuer-die-schuljahre-bis-202324,
Herbstferien, HERBST, 2022-10-11, 2022-10-23, https://www.schulministerium.nrw/ferienordnung-fuer-nordrhein-westfalen-fuer-die-schuljahre-bis-202324,
Weihnachtsferien, WEIHNACHTEN, 2022-12-24, 2023-1-8, https://www.schulministerium.nrw/ferienordnung-fuer-nordrhein-westfalen-fuer-die-schuljahre-bis-202324,
