name, type, start, end, source, info
Fastnachtsferien, OTHER, 2022-2-15, 2022-2-19, https://www.saarland.de/SharedDocs/Downloads/DE/mbk/Bildungsserver/allgemeine-informationen/Ferientermine.html,
Osterferien, OSTERN, 2022-3-29, 2022-4-7, https://www.saarland.de/SharedDocs/Downloads/DE/mbk/Bildungsserver/allgemeine-informationen/Ferientermine.html,
Pfingstferien, PFINGSTEN, 2022-5-25, 2022-5-28, https://www.saarland.de/SharedDocs/Downloads/DE/mbk/Bildungsserver/allgemeine-informationen/Ferientermine.html,
Sommerferien, SOMMER, 2022-7-19, 2022-8-27, https://www.saarland.de/SharedDocs/Downloads/DE/mbk/Bildungsserver/allgemeine-informationen/Ferientermine.html,
Herbstferien, HERBST, 2022-10-18, 2022-10-29, https://www.saarland.de/SharedDocs/Downloads/DE/mbk/Bildungsserver/allgemeine-informationen/Ferientermine.html,
Weihnachtsferien, WEIHNACHTEN, 2022-12-23, 2023-1-3, https://www.saarland.de/SharedDocs/Downloads/DE/mbk/Bildungsserver/allgemeine-informationen/Ferientermine.html,
