name, type, start, end, source, info
Herbstferien, HERBST, 2022-10-11, 2022-10-23, https://kultusministerium.hessen.de/schulsystem/ferien/ferientermine,
Weihnachtsferien, WEIHNACHTEN, 2022-12-23, 2023-1-8, https://kultusministerium.hessen.de/schulsystem/ferien/ferientermine,
