name, type, start, end, source, info
Sommerferien, SOMMER, 2022-7-29, 2022-8-11,,
Herbstferien, HERBST, 2022-11-2, 2022-11-6,,
Weihnachtsferien, WEIHNACHTEN, 2022-12-23, 2023-1-8,,
Osterferien, OSTERN, 2022-4-6, 2022-4-10,,
Pfingstferien, PFINGSTEN, 2022-5-25, 2022-6-5,,


