name, type, start, end, source, info
Winterferien, WINTER, 2022-2-8, 2022-2-13, https://www.tutoria.de/schule-ratgeber/ferientermine/schulferientermine-sachsen-anhalt,
Osterferien, OSTERN, 2022-3-29, 2022-4-3, https://www.tutoria.de/schule-ratgeber/ferientermine/schulferientermine-sachsen-anhalt,
Pfingstferien, PFINGSTEN, 2022-5-10, 2022-5-22, https://www.tutoria.de/schule-ratgeber/ferientermine/schulferientermine-sachsen-anhalt,
Sommerferien, SOMMER, 2022-7-22, 2022-9-1, https://www.tutoria.de/schule-ratgeber/ferientermine/schulferientermine-sachsen-anhalt,
Herbstferien, HERBST, 2022-10-25, 2022-10-30, https://www.tutoria.de/schule-ratgeber/ferientermine/schulferientermine-sachsen-anhalt,
Weihnachtsferien, WEIHNACHTEN, 2022-12-22, 2023-1-8, https://www.tutoria.de/schule-ratgeber/ferientermine/schulferientermine-sachsen-anhalt,
