name, type, start, end, source, info
Sommerferien, SOMMER, 2022-7-30, 2022-9-13, https://www.km.bayern.de/ministerium/termine/ferientermine.html,
Unterrichtsfreie Tage, UNTERRICHTSFREI, 2022-11-2, 2022-11-5, https://www.km.bayern.de/ministerium/termine/ferientermine.html,
Weihnachtsferien, WEIHNACHTEN, 2022-12-24, 2023-1-8, https://www.km.bayern.de/ministerium/termine/ferientermine.html,
Osterferien, OSTERN, 2022-3-29, 2022-4-10, https://www.km.bayern.de/ministerium/termine/ferientermine.html,
Pfingstferien, PFINGSTEN, 2022-5-25, 2022-6-4, https://www.km.bayern.de/ministerium/termine/ferientermine.html,
