name, type, start, end, source, info
Sommerferien, SOMMER, 2022-7-22,2022-9-1, https://www.bildung.bremen.de/ferientermine-3404,
Herbstferien, HERBST, 2022-10-18, 2022-10-30, https://www.bildung.bremen.de/ferientermine-3404,
Weihnachtsferien, WEIHNACHTEN, 2022-12-23, 2023-1-8, https://www.bildung.bremen.de/ferientermine-3404,
Halbjahresferien, HALBJAHR, 2022-2-1, 2022-2-2, https://www.bildung.bremen.de/ferientermine-3404,
Osterferien, OSTERN, 2022-3-27, 2022-4-10, https://www.bildung.bremen.de/ferientermine-3404,
Tag nach Himmelfahrt, OTHER, 2022-5-14, 2022-5-14, https://www.bildung.bremen.de/ferientermine-3404,
Pfingsten, PFINGSTEN, 2022-5-25, 2022-5-25, https://www.bildung.bremen.de/ferientermine-3404,

